职位,薪资,公司,公司信息,公司地址,地区,工作经验,学历,人数,时间,岗位信息
['数据开发工程师'],['1-1.5万/月'],['北京联创智融信息技术有限公司'],['民营公司| 1000-5000人| 计算机软件'],['上班地址 : 深圳'],['深圳'],['3-4年工作经验'],['本科'],['1人'],['2019-02-22'],1、Oracle、MySQL数据库编程能力强，熟悉sql语法、sql优化，能编写高效率的SQL语句与存储过程；2、熟悉Java/J2EE相关技术，熟练使用常用开发框架；3、有银行系统开发经验；4、较强的逻辑思考能力和学习能力；5、良好的编码习惯、团队合作精神、沟通能力；6、计算机专业本科以上学历，3年以上工作经验。四、大数据类中级或高级
['大数据开发工程师'],['1.5-2万/月'],['中国广视索福瑞媒介研究有限责任公司'],['合资| 500-1000人| 专业服务(咨询、人力资源、财会)'],['上班地址 : 建国路甲92号世茂大厦24层'],['北京-朝阳区'],['3-4年工作经验'],['本科'],['若干人'],['2019-02-22'],**工作职责**1 建立和维护大数据集群；2 大数据处理和分析；3 技术交流，外部技术合作；5 开发和维护内部工具； **技术要求** 1 理工科，本科以上学历，计算机、数学、物理或统计学背景，三年及以上开发相关工作经验；2 熟悉Hadoop生态各种产品，能独立部署、优化Hadoop集群，有实际项目开发经验；3 熟悉Java语言；4 熟悉关系型数据库，如MySQL/Oracle/PostgreSQL；5 熟悉Elasticsearch加分；6 熟悉Python语言加分； **团队要求** 1 工作主动性强，自我驱动，目标导向，结果导向；2 独立分析和解决问题的能力；3 能够与人融洽相处，善于沟通和团队合作；4 能够适应多种工作角色的迅速转换，抗压能力强。
['大数据开发工程师 实训生 可培养'],['4.5-6千/月'],['北游国际科技（北京）有限公司'],['民营公司| 1000-5000人| 计算机软件'],['上班地址 : 瑞达路高新区管委会'],['郑州-高新区'],['无工作经验'],['大专'],['30人'],['2019-02-22'],技能要求：内核开发，中间件，人脸识别，数据挖掘，云计算，嵌入式1、大专以上学历（欢迎优秀的应届毕业生），专业不限，计算机相关专业、自动化、测控、生仪、机电、数学、建筑类等等理工科专业优先；2、热爱大数据、互联网、电子商务及计算机软件开发行业，认可华信智原的品牌文化，有计算机语言基础者优先，如：C语言、C++、SQL；3、有良好的工作态度和团队合作精神；4、乐意接受岗前集中学习。福利待遇：1、实训期间（有经验和工作能力者可直接进入正式岗）：提供四个月岗前实训，专业的工程师进行系统的指导，提升工作技能。提供食宿。2、转正上岗阶段岗位工作：经过考核通过者正式上岗，作为专业岗位技术人员，主持参与相关技术的开发。注：达不到公司招聘技术要求的应聘者，可自愿选择是否参加公司提供的岗前技能提升计划。
['大数据开发工程师'],['1-3万/月'],['银盛科技服务集团有限公司'],['民营公司| 1000-5000人| 金融/投资/证券'],['上班地址 : 深圳市龙华新区大道远景大厦2-7楼'],['深圳-龙华新区'],['1年工作经验'],['本科'],['3人'],['2019-02-22'],"岗位职责：
1、 负责公司各类业务的数据处理工作；
2、 负责ETL开发实施及运维；
3、 负责数据仓库的ETL开发 ；
4、 其他数据处理相关工作。

任职要求：
1、 海量数据的ETL开发，抽取成各种数据需求。
2、 参与数据仓库架构的设计及开发 。
3、 参与数据仓库ETL流程优化及解决ETL相关技术问题。
4、 熟悉主流数据库技术，如oracle、Sql server、mongodb等。
5、 能够灵活运用各种脚本语言解决问题、有数据etl主流的开发工具如informatica、Datastage、Kettle等开发经验优先，了解日常ETL作业部署及调度。
6、 较强的数据逻辑能力。
7、 具备第三方支付行业知识及开发经验的优先。
8、 热爱本职工作，工作细心、责任心强。
9、 具有较强的理解、领悟能力、工作协调能力和创造力。"
['大数据开发负责人'],['2.5-4万/月'],['深圳前海新心金融管理有限公司'],['合资| 150-500人| 金融/投资/证券'],['上班地址 : 环球都会广场42楼'],['广州-天河区'],['本科'],[],['1人'],['2019-02-22'],负责搭建互联网企业级数据仓库，包括ETL、数据模型设计和开发、BI等工作。  任职要求： 1.全日制本科及以上学历，计算机、统计、数学等相关专业； 2.3年以上DW/BI系统的实际开发经验，至少精通DB2、Oracle、Teradata、Greenplum、MySQL其中一种主流数据库及其数据仓库的开发、设计和调优； 3.具备丰富的数据库模型设计及数据库管理经验，熟悉一种以上主流ETL工具，有大型的数据仓库设计或者数据分析经验者优先； 4.熟悉Hadoop、Spark、Hive等，具有相关环境的使用经验； 5.精通PL/SQL & SQL编程，熟悉J2EE架构，能使用JAVA语言编写ETL开发程序； 6.责任心强，有良好的合作精神，沟通能力较强； 7.有海量数据处理经验优先；熟悉金融业务优先。
['数据开发工程师'],['0.6-1.2万/月'],['成都房联云码科技有限公司'],['民营公司| 150-500人| 互联网/电子商务 计算机软件'],['上班地址 : 青羊区西御河沿街33号'],['成都-青羊区'],['1年工作经验'],['本科'],['3人'],['2019-02-22'],岗位职责：1、负责根据ETL方案开发ETL程序以及ETL程序测试；2、负责根据产品需求开发、测试数据库脚本；3、负责根据建设需求部署cdc工具；4、负责在测试环境上面实现数据模型。任职要求：1、本科及以上学历，计算机相关专业；2、熟悉数据库相关技能（如：oracle、mysql、db2、sqlserver等）；3、熟练掌握主流ETL工具、cdc工具等；4、能够根据业务需求开发数据库存储过程、函数等；5、有责任心、能独立分析解决问题、团队协作能力强；6、可接受应届毕业生。办公地点： 骡马市（分部）
['大数据开发工程师'],['1.5-2万/月'],['深圳市德科信息技术有限公司'],['合资| 1000-5000人| 计算机服务(系统、数据服务、维修) 计算机软件'],['上班地址 : 高新园地铁站'],['深圳-南山区'],['2年工作经验'],['大专'],['1人'],['2019-02-22'],1、熟悉数据仓库架构、熟悉Hadoop平台BI项目的实施流程；（大数据、bi、etl、数据库开发欢迎）2、精通Oracle常用函数、分析函数，熟练使用SQL完成业务需求；3、熟练使用PL/SQL编写存储过程； 4、熟悉hadoop，熟练使用hive；
['大数据开发工程师'],['1.5-4万/月'],['北京明略软件系统有限公司'],['民营公司| 150-500人| 计算机软件'],['上班地址 : 中关村东路1号院1号楼 清华科技园创新大厦A座10层1002'],['北京-海淀区'],['本科'],[],['2人'],['2019-02-22'],"1、 从事大数据平台建设开发，数据治理，分析，编码的工作。2、 负责大数据项目的核心业务设计和开发；3、 随着项目发展，不断优化分布式系统架构，提高可用性，扩展性和性能；4、 调研新的大数据技术并进行应用，助力业务成长；任职要求：1、数学、统计、计算机等相关专业，大学本科及以上学历；2、了解统计学、数学、人工智能和数据挖掘理论基础，了解数据仓库、数据挖掘与分析的相关知识，具有良好的数据模型设计能力，熟悉常用统计分析方法、数据挖掘基本算法；3、熟悉Linux/Unix操作系统，熟练掌握java/scala/go/python/php等一种或多种编程语言；4、熟悉hadoopecosystem，包括但不限于Hadoop,HBase,Hive,Kafka,Flume，ElasticSearch，Spark，Storm,Druid/Presto/Impala等，具备2年以上开发和使用经验；5、了解Oracle、MySQL、SQLServer、DB2至少一种数据库软件，熟练使用SQL完成常规取数，使用LinuxShell、Python脚本初步处理数据；6、熟悉联机分析处理(OLAP)理论与工具，掌握OLAP数据平台，熟悉大数据结构化及非结构化分析工具；7、学习能力强，适应能力好，主动性强，抗压能力强，团队协作意识强，能适应一定程度的加班；8、具备良好的沟通能力和表达能力，有较强的数据敏感度，良好的沟通协调能力，能承受一定的工作压力"
['大数据开发工程师'],['1.3-1.5万/月'],['杭州鸿泉物联网技术股份有限公司'],['民营公司| 150-500人| 电子技术/半导体/集成电路'],['上班地址 : 包头市装备制造产业园区兵工东路9号'],['包头'],['2年工作经验'],['本科'],['2人'],['2019-02-22'],1、负责数据平台的建设规划和数据治理，推进业务域的数据质量提升；2、负责大数据项目需求调研及分析、模型设计工作；3、负责大数据相关技术的研究及应用；4、与公司其他部门密切配合，寻求数据层面的业务价值，利用数据分析结论推动业务优化。任职资格：1、本科及以上学历，统计学、经济学、计算机等相关专业；2、2年以上相关工作经验，优秀毕业生亦可考虑；3、具备很强的自主学习能力。4、具备较强的数据解读能力，业务沟通能力；5、了解ETL的架构及原理，熟悉ORACLE数据库，有PowerCenter、BI报表开发使用经验者优先；6、了解Hadoop的体系架构和运行原理，了解Hadoop的MapReduce原理，有使用python、java的MapReduce开发实战经验者优先；7、具有海量数据挖掘及分析相关项目经验，具有汽车行业，互联网分析挖掘经验、文本挖掘经验者优先。本岗位为北奔重型汽车股份有限公司招聘岗位。
['数据开发工程师'],['2-3万/月'],['深圳证券时报社有限公司'],['国企| 500-1000人| 文字媒体/出版 金融/投资/证券'],['上班地址 : 深圳市福田区彩田路中银大厦1楼、A座17、18、20楼'],['深圳'],[],[],['若干人'],['2019-02-22'],岗位职责：1.负责大数据方向的整体架构设计，结合公司实际业务情况进行技术选型；  2.负责数据平台产品的整体评估、设计、架构及关键模块的开发；  3.负责架构优化及系统关键模块的设计开发，协助团队解决开发过程中的技术难题；  4.参与数据开发规范制定。 任职要求：1、计算机等相关专业，本科及以上学历，5年以上大数据开发经验；2、负责过大型数据平台或数据仓库设计，具有扎实的大数据和数据仓库的理论功底；3、有较强的创新精神和创新能力，能主动开拓业务分析能力；4、有较好的数据思维，能从数据角度思考业务提升，有数据分析工作经验者优先；5、熟悉大数据生态技术，有Spark、Hadoop、Hive、HBase、Flume、Kafka等实际项目经验；6、熟悉分布式系统的设计和应用，熟悉负载均衡、缓存和高可用机制的实现7、有机器学习经验和算法经验优先。
['大数据开发工程师'],['0.8-1万/月'],['广州耘趣网络科技有限公司'],['民营公司| 少于50人| 计算机软件 互联网/电子商务'],['上班地址 : 五羊新城广场1401'],['广州'],['2年工作经验'],['大专'],['若干人'],['2019-02-22'],岗位职责：1、完成软件系统代码的实现，编写代码注释和开发文档；2、辅助进行系统的功能定义程序设计；3、根据设计文档或需求说明完成代码编写，调试，测试和维护；4、分析并解决软件开发过程中的问题；5、配合项目经理完成相关任务目标。6、根据项目建设要求，对各类数据进行处理；7、开发基于Arcgis server 相关地图，开发基于百度、高德、腾讯相关地图；学历要求： 本科或大专；任职要求：1、计算机或相关专业大专学历以上；2、2年以上软件开发经验，熟悉常见Java开源框架，如Spring、SpringMVC、MyBatis、Hibernate、SpringSecurity、SpringSocial、ApacheShiro等。熟悉常见关系型数据库，如MySQL、Oracle等，熟悉常见Web服务器，如Tomcat、Apache等。熟悉jsp页面的开发；3、具备需求分析和系统设计能力，以及较强的逻辑分析和独立解决问题能力；4、有相关地图开发经验者优先，熟悉Arcgis js api 开发者优先。工作时间：1、每周五天、每天7.5小时工作时间，弹性上下班；2、周末双休 + 按国家标准休节假日；
['大数据开发工程师'],['1.5-2万/月'],['启迪云控(北京)科技有限公司'],['外资（非欧美）| 50-150人| 互联网/电子商务 计算机软件'],['上班地址 : 上海国际汽车城'],['上海-嘉定区'],['3-4年工作经验'],['本科'],['4人'],['2019-02-22'],一、大数据开发工程师-存储岗位职责：负责云控基础平台大数据存储系统的设计、开发和优化；参与云控大数据平台架构的设计工作；跟踪、研究和应用相关前沿技术；对相关项目提供技术支撑。技能要求：                        精通Java语言及相关框架，能熟练掌握常用数据结构和算法；有实际的Hadoop生态系统HBase/Hive/MongoDB开发和调优经验；熟悉传统关系数据库设计和开发，及其与Hadoop生态的数据互通；熟练掌握Linux的操作和使用。二、大数据开发工程师-处理    岗位职责：负责云控基础平台大数据处理系统的设计、开发和优化；参与云控大数据平台架构的设计工作；跟踪、研究和应用相关前沿技术；对相关项目提供技术支撑。                    技能要求：熟悉消息队列的原理，熟练使用Kafka等常用的消息队列；熟悉Spark、Storm等计算和数据处理引擎的环境搭建、开发和管理；熟练掌握Redis/Memcached等内存数据库，有过相关使用经验；掌握数据分析的基本流程，擅长数据采集、清洗、分析等环节，；熟练掌握Linux的操作和使用。
['数据开发项目经理'],['0.7-1.4万/月'],['中科软科技股份有限公司'],['国企| 10000人以上| 计算机软件 计算机服务(系统、数据服务、维修)'],['上班地址 : 海运大厦'],['广州-海珠区'],[],[],['1人'],['2019-02-22'],【公司严格审查学历及工作履历，请确保您简历与实际情况相符】【岗位职责】：1、从事保险公司数据平台中的ETL、数据分析、数据处理、大数据拓展等相关开发工作；2、全面负责软件项目的需求分析、详细设计、代码开发、测试以及文档编写等流程管理相关工作，完成项目目标；3、带领开发小组完成工作计划，负责组内技术攻坚、人员培养、项目管理等工作；4、解决项目开发过程中的各类技术问题，带领团队钻研新技术；5、与甲方项目经理协作做好项目管理；【职位要求】：1、二本院校，本科学历，3年以上数据开发（BI、数仓、数据处理等）经验，1年以上开发团队管理经验；2、掌握DB2、Oracle、MySQL、ODPS等数据库开发技能；3、全面熟知数据仓库设计理念、设计方法，熟练掌握Informatica、Kettle、Datastage等ETL工具至少一种；4、熟悉Linux系统环境开发，掌握shell、perl、python等至少一种脚本开发语言。5、工作认真负责、积极主动；6、良好的沟通能力及团队合作精神；【优先条件】1、有金融保险行业软件经验优先；2、有相关管理经验优先；3、有一定Hadoop生态大数据基础优先；4、有一定客户管理系统基础优先；
['大数据开发工程师'],['0.8-1万/月'],['河南校信通教育科技有限公司'],['民营公司| 150-500人| 计算机软件 教育/培训/院校'],['上班地址 : 金水东路与心怡路交汇处楷林IFC-C座20层'],['郑州-郑东新区'],['无工作经验'],['本科'],['10人'],['2019-02-22'],"岗位职责对海量数据做采集、分析及处理，为业务团队提供专题分析、数据分析与挖掘、模型及算法等相关服务；负责机器学习的探索与研究，结合未来实际应用场景，提供基于教育行业的技术解决方案；  负责提供分布式算法实现的解决方案，大幅提升计算的规模和性能；  与业务部门沟通合作，将数据模型应用于实际业务。资格要求：                        国家统招一本及以上学历，计算机、数学及相关专业；对数学模型，数据结构以及算法有很深的理解和设计能力；业务理解力强，对数据、新技术敏感，对云计算、大数据、人工智能技术及应用充满热情；符合如下条件者优先：掌握Java语言；有大数据处理经验,熟悉Hadoop/Map-Reduce/Storm/Spark/Flink等分布式计算框架；认真细致，踏实勤奋，自学能力，具备良好的分析解决问题能力，具有较好的团队协作精神和沟通能力。"
['大数据开发工程师（ETL）'],['1.2-1.8万/月'],['上海金指软件技术有限公司'],['民营公司| 50-150人| 互联网/电子商务 计算机软件'],['上班地址 : 陆家嘴'],['上海-浦东新区'],['3-4年工作经验'],['本科'],['5人'],['2019-02-22'],岗位职责：1、根据大数据项目需要，负责离线或实时数据存储和加工处理；2、结合项目或产品涉及的具体业务场景，对数据进行清洗(ETL)、计算与加工；3、快速响应数据处理的需求，高效的提取数据；4、能够与团队成员有效沟通，并完成数据处理结果的核对与对接；5、完成领导交办的其他工作或任务。任职要求：1、计算机相关专业本科及以上学历，其中2年以上大数据开发经历；2、熟悉Hadoop生态圈，熟练掌握Spark、Hive、HBase、Storm、Kafka等大数据组件的开发；3、熟练掌握Java；4、有LinuxShell编程经验尤佳5、具有良好的逻辑思维能力和严谨的程序开发思想，具备独立问题排查与处理的能力；6、良好的团队精神和合作意识，强烈的责任心，对工作有激情，良好的沟通能力；7、能接受较高强度的工作。福利和薪资待遇：一、上海金指软件技术有限公司按国家规定为所有员工缴纳五险一金，实行项目绩效奖金、有节日补贴；二、每周提供免费活动场地，组织羽毛球等健身活动，让员工快乐工作，乐享生活；三、为员工提供一系列的专业化培训，提升员工技能；四、每年春、秋季公司组织全体员工旅游；五、优秀员工可持有一定量的公司股票。工作地点：上海市浦东新区
['数据开发工程师'],['2-2.5万/月'],['上海盈讯科技股份有限公司'],['民营公司| 150-500人| 互联网/电子商务 金融/投资/证券'],['上班地址 : 控江路2063号五环大厦10楼D座'],['上海'],['5-7年工作经验'],['本科'],['2人'],['2019-02-22'],"1、负责大数据产品研发，负责数据pipeline构建，性能优化工作； 2、负责数据仓库设计和开发； 3、负责流数据计算平台开发。             岗位要求：1、扎实的计算机专业基础，良好的抽象能力，的编码能力；2、熟练掌握Java及面向对象设计，熟悉多线程理论和相关技术；3、熟悉大数据栈，包括不限于Hadoop, Hive, HBase, Couchbase, Spark, Flink, Kafka,一种或几种相关技术，熟悉其原理，了解分布式系统设计思想；4、熟悉数据仓库、数据建模相关技术优先；5、积极上进，自我驱动，既能搞定***的技术难题，同时又热切地关注业务，用技术力赋能业务。"
['大数据开发工程师'],['1-1.5万/月'],['意礴数字科技（深圳）有限公司'],['民营公司| 50-150人| 计算机软件'],['上班地址 : 深圳南山区百丽大厦'],['深圳-南山区'],['1年工作经验'],['本科'],['1人'],['2019-02-22'],岗位职责：1、能利用数据分析手段，对多种数据源进行深度诊断性挖掘；2、应用机器学习、文本挖掘等技术，对海量数据进行挖掘，发现其潜在关系，研发符合客户的大数据产品； 3、配合业务部门给予数据支持，帮助业务部门优化运营服务，设计符合用户个性化需求的产品； 4、通过大数据挖掘用户群体行为和属性特征，帮助业务单元更好的理解客户需求。任职要求：1、全日制本科及以上学历，计算机相关专业，熟悉Java语言基础和Linux编程基础；2、1年以上大数据相关系统研发经验及大数据平台规划与设计、架构研发经验；3、对大数据相关组件：Hadoop、Spark、Presto、Hbase、Hive、Kafka、Flume、Kylin、ElasticSearch等架构能较深入理解及项目研发经验。4、具备构建稳定的大数据基础平台的能力，具备数据收集、数据清洗、实时数仓建设、实时流计算等系统研发经验，熟悉高并发服务设计，对Netty、SpringBoot等技术有项目研发经验；5、对技术有热情，有不错的数据思维和敏感度，有一定的数据分析能力优先，对深度学习、机器学习有一定的了解优先；6、工作有计划性，责任心和执行能力强，具备高度的责任心、诚信的工作作风、优秀沟通能力及团队精神。7、具备1年以上相关岗位工作经验
['数据开发工程师'],['15-30万/年'],['中国联合网络通信有限公司上海市分公司'],['国企| 1000-5000人| 通信/电信运营、增值服务 通信/电信/网络设备'],['上班地址 : 长宁路1033号联通大厦'],['上海-长宁区'],['3-4年工作经验'],['本科'],['若干人'],['2019-02-22'],工作职责1. 负责数据平台数据接入、数据清洗工作； 2. 负责数据仓库ETL实现和优化工作； 3. 负责算法开发和维护工作； 4. 大数据新技术探索，技术攻坚；  5.领导临时安排的其他任务等。任职资格1.熟悉主流的大数据产品和数据分析技术并具有相关项目经验； 2.具有扎实的数据挖掘和机器学习基础；  3.熟练掌握 Unix/Linux、熟练掌握SQL查询及优化，Java/php等任一开发语言；  4.对商业和业务逻辑敏感，有互联网相关行业背景，有网站用户行为研究和文本挖掘经验优先；  5.熟悉 Hadoop、Hive、MapReduce等大数据技术、熟悉storm、kafka、spark streaming等CEP流式计算技术优先6.具有良好的系统分析、架构设计能力，有独立设计分布式数据开发框架经验优先
['大数据开发工程师'],[],['总部'],['国企| 保险'],[],['上海'],['本科'],[],['若干人'],['2019-02-22'],岗位说明：1、负责Hadoop大数据平台各类数据业务抽象及模型化；2、负责数据仓库ETL设计、开发及自动化工作；3、负责Spark的功能扩展和性能优化，使用海量数据解决并实现业务需求；4、设计或配合算法工程师实现算法，解决实体识别、情感分析等相关问题；5、使用Hive、Spark进行数据处理，协助建立数据模型。专业/学历：1、本科及以上学历，精通SQL，精通Java、scala，Pytho若干其中至少一门语言；2、熟悉数据库数据仓库设计 ；3、熟悉Hive、Spark、Spark SQL、SparkStreaming、kafka、Flume、Sqoop、hdfs，HBase等；4、熟悉linux开发环境，掌握shell编程 。
['大数据开发工程师'],['1-1.5万/月'],['河南信大网御科技有限公司'],['民营公司| 50-150人| 计算机软件 通信/电信/网络设备'],['上班地址 : 农业路27号5楼501'],['郑州-金水区'],['2年工作经验'],[],['5人'],['2019-02-22'],任职要求：1、精通Java语言（熟悉设计模式、多线程、网络通信、分布式编程技术），同时掌握python和scala语言者优先2、精通大数据生态系统组件，并有项目实战经验，如：Spark、MapReduce、HBase、Hive、ZooKeeper、YARN、HDFS等或流计算框架Spark  Streaming、Storm等3、熟悉oracle关系数据库，熟悉Redis或MongoDB等至少一种NoSQL数据库4、有良好的数据分析意识和产品意识，能够从海量数据中发现有价值的规律5、具备良好沟通能力和团队合作精神，工作认真细致，责任心强，具有良好的编程基础及编程习惯6、具备较强的分析解决问题的能力，以及优秀的逻辑思维能力，对有挑战的问题充满激情。岗位职责：1.负责大数据平台产品的设计与开发；2.参与完成业务和产品的对接，支持业务需求3.参与完成数据建模等工作；4.负责大数据平台数据分析、监控数据分析、安全预警分析、数据挖掘等工作；
['大数据开发工程师'],['1.5-2万/月'],['重庆商勤科技有限公司'],['民营公司| 50-150人| 环保 计算机软件'],['上班地址 : 盘溪七支路永辉总部大楼24层'],['重庆-江北区'],['5-7年工作经验'],['本科'],['5人'],['2019-02-22'],1、大规模数据挖掘和机器学习算法的实现和维护；2、参与公司核心项目的研发、实施工作；3、研究大数据前沿技术，提升系统的运维效率；4、实现大数据基础架构平台（Hadoop/Spark/MPP DB）的自动部署和维护。任职要求：1、计算机科学与技术、软件工程、电子工程或相关专业毕业，本科及以上学历；2、具有3年以上大数据开发经验，至少熟悉一种编程语言（Python/Java/Scala）；3、熟悉Hadoop等分布式系统开发，数据仓库技术，熟悉分布式系统概念、架构；4、参与过开源项目者优先，有过海量数据系统开发经验者优先，有大规模分布式系统设计、实现、部署等经验者优先；5、热爱软件开发，做事认真细致负责，沟通能力强，有团队合作精神；6、有较强的书面与口头沟通表达能力，具备独立分析、解决问题的能力；7、***。
['数据开发工程师'],['1-1.2万/月'],['上海慧骋数据科技有限公司'],['民营公司| 50-150人| 互联网/电子商务 计算机服务(系统、数据服务、维修)'],['上班地址 : 真南路822弄129号1号楼3层303室'],['上海-普陀区'],['1年工作经验'],['本科'],['1人'],['2019-02-22'],岗位职责：  参与公司数据平台相关项目；负责数据报表平台的搭建、开发和维护；参与数据平台的升级、规划工作；根据需要，负责业务的需求分析；负责开发文档的编写和整理。             任职要求：  计算机、电子、数学或者相关专业全日制本科及以上学历。熟悉Java，有扎实的编程基础。熟悉spring mvc、spring boot等框架，了解其原理。熟悉js、css、jquery、bootstrap等前端技术。熟悉sql server，了解存储过程。有多线程、数据报表开发、消息队列、微服务等相关经验优先。能够有效分析并处理技术问题，有较强的业务理解能力。工作踏实认真，思路清晰，有强烈的责任心、优秀的协调沟通能力和团队合作精神。
['大数据开发工程师'],['10-20万/年'],['浙江杜比医疗科技有限公司'],['民营公司| 50-150人| 医疗设备/器械 计算机软件'],['上班地址 : 杭州下城区东方贸商业中心'],['杭州-下城区'],['1年工作经验'],['本科'],['2人'],['2019-02-22'],"岗位职责：1. 基于公司大数据平台，负责数据采集／建模／计算／分析等开发工作； 2. 参与数据价值挖掘和模型体系的构建和部署；岗位要求:1. 计算机、数学等相关专业本科以上学历，对大数据分析和挖掘有强烈的兴趣2. 熟悉常用分类，回归，聚类，关联等算法原理和应用3. 熟练使用SQL，熟悉常用关系型数据库，熟悉Hadoop/ODPS等分布式计算平台，熟练使用Hive/Hbase/mysql，PACS图像数据库等数据开发技术4. 掌握Java/python语言能力的优先，熟悉linux/Shell优先 ,熟悉R/Matlab的优先5. 熟悉医疗相关数据者优先                    6. 沟通与交流能力强，业务理解能力强，具有一定的业务建模能力"
['大数据开发工程师'],['20-30万/年'],['中国电子科技集团公司第五十二研究所'],['国企| 5000-10000人| 计算机硬件 通信/电信/网络设备'],['上班地址 : 杭州市马塍路36号'],['杭州'],[],[],['若干人'],['2019-02-22'],岗位职责：1、负责大数据生态组件的二次开发、性能调优和组件集成工作；2、参与建设、维护、优化大数据基础平台，挖掘大数据组件应用案例；3、参与项目文档撰写、代码评审和功能测试，确保交付的项目的质量；技能要求：1、计算机、电子、通信、计算数学等相关专业，本科及以上学历，2年及以上工作经验；2、熟悉Hadoop、Spark等生态相关技术并有相关开发经验；3、具备一定的Java、Python语言的开发能力。4、具备大数据生态相关工作经验者优先；
['大数据开发工程师'],['2-2.5万/月'],['上海齐家网信息科技股份有限公司'],['民营公司| 1000-5000人| 互联网/电子商务 家居/室内设计/装潢'],['上班地址 : 金沙江路3131号（上海国际信息服务产业园）6号楼2楼'],['上海'],['5-7年工作经验'],['大专'],['2人'],['2019-02-22'],"岗位职责1、参与大规模数据快速查询系统的架构设计和开发；2、大规模数据挖掘和机器学习算法的实现；3、在线和离线海量数据分析平台的开发；4、研究大数据前沿技术，提升系统的运维效率；5、实现大数据基础架构平台的自动化运维。""                职位要求：        1、计算机相关专业,具有3年以上大数据开发经验，熟悉Java,Linux；2、熟悉Hadoop大数据处理系统的开发,搭建及部署者优先；3、熟练地处理数据模型、数据ETL以及存储管理；4、熟悉HDFS/Hive/MapReduce/Kylin/HBase，能独自进行Mapreduce程序开发者优先；5、熟悉分布式系统概念、架构，有大规模分布式系统设计、实现、部署等经验；6、有较强的书面与口头沟通表达能力，独立分析、解决问题的能力。 """
['数据开发工程师'],['0.7-1.4万/月'],['江苏鑫源融信软件科技有限公司'],['民营公司| 少于50人| 计算机软件'],['上班地址 : 玄武区玄武大道699-8号研发一区1栋205'],['南京-玄武区'],['2年工作经验'],['本科'],['5人'],['2019-02-22'],1)  善于理解项目需求，把握需求要点；2)  完成项目经理或项目组长安排的应用系统设计及开发任务；3)  完成个人分工内应用模块的设计、开发、测试及维护工作；4)  编写分工内应用模块的设计文档，参与项目内相关文档评审工作；5)  积极参加公司培训，在团队指导下制定并执行学习计划，乐于分享工作经验；                        任职要求：    1)  本科及以上学历，计算机相关专业；2)  2年以上数据开发经验，具备较强的数据库编程能力；3)  熟练掌握Linux/unix操作系统基础，熟悉Shell、Python编程；4)  具备主流数据库编程经验（Oracle/DB/Mysql等），熟练掌握SQL语言；5)  行业不限，有金融行业经验优先；                    6)  能够接受短期加班和出差。
['（麦晗业务线）大数据开发工程师'],['1.5-2.5万/月'],['爱点击互动(北京)广告有限公司'],['外资（非欧美）| 150-500人| 广告 互联网/电子商务'],['上班地址 : 浦东软件园博霞路22号302室'],['上海-浦东新区'],['3-4年工作经验'],['本科'],['若干人'],['2019-02-22'],1、负责公司c端产品以及广告数据的平台数据基础建设2、大数据平台的建立与维护3、优化算法提高执行效率4、数据挖掘相关开发职位要求：1. 本科及以上，计算机、软件工程、统计学、数据挖掘、机器学习等相关专业；2. 3年及以上大数据流程架构经验，熟悉Hbase/Hive/Hadoop/Spark或等主流分布式开发平台，有高性能集群设计和开发经验；3. 精通Linux，熟练掌握Python/C/Shell/Java，熟练掌握SQL数据库语言 HiveSQL/Mysql/Sqlserver；4. 有数据挖掘算法实施经验，熟练掌握大规模数据挖掘、机器学习；5. 对有广告营销大数据算法/开发经验者优先，有大型数据项目经验优先，有用户行为分析、用户建模、业务建模经验者优先；6. 具有良好的逻辑分析能力、沟通能力和协调能力； 7. 积极的工作态度，勤奋上进，有责任心。有意者可投递简历至以下邮箱：hujun@myhayo.comliuyanshan@myhayo.comsparkyuan@myhayo.com
['大数据开发工程师'],['1.5-2万/月'],['上海数鸣人工智能科技有限公司'],['民营公司| 少于50人| 互联网/电子商务 金融/投资/证券'],['上班地址 : 沪太路2999弄10号510-511'],['上海-宝山区'],['3-4年工作经验'],['本科'],['3人'],['2019-02-22'],"职位信息-.面向业务目标，从数据模型、数据分布、数据传输、数据存储等方面进行大数据系统的开发；任职资格：1、3年以上相关的数据库，大数据或数据仓库项目方面工作经验。2、精通数据库语言（T-SQL/PL-SQL），ETL以及数据建模方面。3、精通Java/Scala和Spring框架。4、 精通大数据架构相关的知识，如Hadoop,Spark或Qubole。5、有丰富的数据库工作经验（Teradata，Redshift，DB2，AzureDatawarehouse或Greenplum）。6、至少精通一种Unix/Linux环境下的脚本语言，如Python/Perl/Shell/JavaScript。7、有面向对象设计，SOA，分布式计算，性能调优，高级数据结构和算法，实时分析和大型数据处理方面的知识或经验8、有敏捷开发/Scrum经验。"
